
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)  Id
-------  ------    -----      -----     ------  --
    344      21     9912      25772       0.23 512
    129       9     2316       6004            660
    722      51   108388     138136     133.63 316
    322      29   259060      89264   1,518.30 352
    276      17    67664      97176       6.73 392
    171      11     2884       5556       0.03 388
    620      28   209112     255412      63.13 044
    304      20     9480      19856       2.88 732
    655      54   400932     282244     294.97 664
   1506      55   211572     257512     151.78 636
    303      19    16976      37276      42.64 576
    237      16     9264      17320       0.80 192
    696      29   344056     398492     388.09 532
    246      16    13564      24556       0.13 936
    272      15    25988      48752       0.61 188
    260      15    30208      52676       0.53 244
    260      15    24136      46536       0.48 512
    236      15     9004      15756       0.53 328
    342      17    54384      85932       4.52 384
    273      15    20136      36400       0.34 480
    356      18    68276      99860       5.83 720
    344      15    37628      60616       0.92 948
    241      17     8240      15004       0.41 168
    345      15    38320      60808       1.22 512
    282      15    55920      77936       0.77 916
    488      16    59376      88048       2.80 060
    296      15    29700      51708       0.63 088
    352      16    37108      60140       0.97 752
    469      17    79464     112820       4.50 308
    353      16    39884      63176       1.42 408
    271      15    18412      39220       0.56 680
    381      19    69816     114820       6.70 872
    314      19    74252     103760       4.73 380
    341      18    52856      83408       1.91 572
    462      16    52728      75976       1.81 864
    272      15    26096      48812       0.45 920
    263      15    24704      48396       0.55 536
    515      16    61352      95716       2.55 636
   1381      56   428144     450408     108.03 748
    323      21    63336      92148       2.39 036
    873      15   117756     141556       6.64 040
    508      11     2932       5920       0.14 064
    360      18    65160      96696       7.88 912
    284      15    27692      50364       0.63 756
    515      16    49032      80732       1.78 044
    360      18    70184     101676       9.34 172
    441      15    52084      75360       1.95 380
    360      18    63284      95108       2.47 508
    357      15    37008      60704       1.05 816
    360      18    67164     100168       9.56 256
    390      16    42640      66548       1.33 592
    352      21    41116      59144      22.17 708
    296      15    29452      51536       0.73 832
   3784     105   379672     447840     129.05 932
    268      15   117120     146224      15.72 940
   1025      16   133040     158092       7.94 016
    353      16    42368      65088       1.38 484
    435      21    52576      86488       2.77 488
    296      15    29684      51724       0.77 564
    322      19    59556      88552       1.47 568
    364      18    73760     106128       2.47 968
    465      15    51128      75216       1.64 972
    293      15    30960      55092       0.63 808
    221      14    12988      27848       0.13 348
    478      15    53628      78200       2.03 596
    305      16    39640      74716      10.19 156
    296      15    29652      52060       0.72 388
    260      15    24516      46596       0.48 436
    360      18    60616      94488       5.25 732
    364      18    72740      99644       2.42 036
    314      17    51792      92332       3.41 424
    322      19    58124      87976       2.02 400
    734      46    77348     101876       5.42 664
    323      20     8328      17696       0.69 384
    237      17    61592      90860       5.45 584
   1342      38    53128      90656      55.06 376
    510      24   203152     251388     377.70 944
    725      29   274440     310376     107.73 812
    303      17    77824     117908      25.72 200
    399      19    48872      88764      17.06 580
    186      13    24228      66652       3.13 224
    273      16    13172      34036       1.75 468
    191      13    48444      88200      33.64 492
    230      13    10960      21472       0.05 700
    186      14    23368      65112       0.78 712
    146       8     2520       7036       0.05 928
    103       7     6244       7760            748
    100       8     1340       3840       0.03 240
    106       8     1652       4252       2.33 892
    870      29     2384       3748            776
    992      42     3576       5000            768
    488      17     5508      20236      16.86 024
    299      15     5220       9216            688
     84       6      896       1932            608
    244      19     4976      10460       0.13 620
    208      17     3556       7184            484
    414      26    49636      45612       3.56 340
    634      26     8660      24992            636
     98       8     2312       4684     180.64 280
   1643      68   257524     247388            852
    138       7     2216       4488            708
   4134     111   257488     215816      68.92 072
     37       7     2140       3356            988
     44       9     4520       6632            368
      0       0       60          8              0
    186      10     2224       6944            488
    338      16     4404      11068       0.34 192
    381      24    39720      31580            740
    130       7     1208       2528            364
    140       9     1308       3248            220
    212      10     2980       7380            904
    606      29    27320      70476       0.95 912
   2141      33    13624      29832            972
      0       0      128       5364            328
   1094      42    39920      55496            908
    632      43    48924      89872       0.64 796
    259      16    18108      55104       0.25 664
    216      16     8128      20488       0.06 172
    275      19    10028      32296       0.30 676
    155      11     2820       8800       0.02 764
   1014      50    26720      93844       1.44 952
    466      27    53060      65380       0.25 336
    626      34    21512      45868       1.97 852
    375      19     6332      17128            064
    725      33    37888      62984            852
    166      11     7052      12792            888
    227      16    11396      19092            164
    824      29    39000      60744            664
    866      31    46332      48492            680
    956      48    27188      73928      54.16 296
   4641     113   267440     420828      68.63 800
    945      74   259452     252264      77.97 464
    538      34    66660      71492       0.67 708
   3748      42    27512      34704      17.95 848
    848      70    46896      12660     101.58 644
    226      19     4252       1280       0.91 232
      0      15     6516      40076            124
    824      53   237396     226404            940
    133       8     1788       4864            304
    320      21    26740      33392      44.64 576
    174      10     2520       6008            900
    154       9     1756       4428            940
    350      22     4856      10708       0.13 536
    384      25     7144      17448            344
    367      23     5156       8880            968
    386      17     4820      19872       0.25 940
    318      16     4592      17904       2.88 128
    306      18     6120      16820       0.28 180
    485      26    11796      35516       3.50 296
    352      20     7336      21188       0.53 252
    317      19     7140      23516       2.11 852
    647      27    13100      34768       4.72 804
    154      10     2664      10824       0.02 516
    250      19   203316     205460            076
   1343     122   185736     253548      13.33 552
    170      10     2132       9940            768
    848      73    36196      41028            004
    351      13     2840      14204            776
    800      25     6524      13116            088
    163      10     2500       6884       0.08 472
    837      12     8896      11680            956
    198      12     3416       4404       0.22 124
    105       8     6196       8128            276
    828      37    35144      83520       1.73 708
    565      18     7812      24904       4.73 220
    691      26   221352     266600     486.73 724
    319      21    16860      39428      18.58 736
   1175      37    61776     108928      31.36 132
    192      13    11628      23968       0.03 508
    838      28   218328     234448     390.91 124
     53       4     1104        452            516
    523      25     6684      14956            128
    628      31    24540      67144       4.22 880
    161      10     2552       7528       0.30 560
   2148      30    20564      38884            604
   1674      23    20072      26204            112
    453      11     3424       7112            164
    284      16     5336      12168            380
    340      16     4000      10304            548
    159      33     7880       9740            560
    172      13     1900       4924            624
    171      10     1912       8324            684
    284      23     3408      10276            692
    256      14     2996       7936            808
    783      10     2816      10648            828
    435      22     3736       8996            856
    167       7     2088       4016            908
    403      21     7816      14820            936
    484      15    19216      20336            948
    327      11     3276       6764            240
    506      11     3360       9592            320
    124       8     1652       4504            444
    163      17     2088       3836            472
    186      10     2360       5800            580
    413      19     5712      11732            588
    188      10     2188       4800            784
    502      14     3956       8720            872
    337      16     5388       8968            956
    296      12    10164      16864            096
    278       8     1400       3248            192
    232      16     4088      12480            200
    174      10     2088       5848            208
    229      15     2396       6220            436
    428      22    10012      31172       2.06 464
    514      18    13036      20944            476
    224      10     2612       5892            592
    158      11     2388       5776            608
    329      17     4228      15116            836
    228      11     2548       6040            956
    523      34    12176      20336            976
    322      19     4968      20640            060
    163      11     2744       6900            136
    140       9     1648       4356            248
    274      17     3364       7736            312
    294      15     3556       9988            484
    214      10     2156       6160            492
    178     186     3660       6348            644
    535      17     7972      16852            804
    529      16     4528       7872            920
    140      15     1840       4540            968
    593      30     9888      22340            036
    284      18     3688      12688            096
    211      13     2588       6988            172
    251      15     5064      12972            180
    425      34    15252      21868            220
    213      12     2532       6572            244
    225      14     2448       7324            292
    578      29    23348      40024            612
    457      27    30328      39332            620
    363      24    48452      55916            628
    361      18     3060       7624            760
    211      14     2548       4300            924
    301      14     3384       9196            988
    125       8     1320       2748            996
    224      12     3128       9328            200
    406      20     5176      19052            300
    194      16     7220       8148            348
    130       9     1600       3800            648
    277      16     4208       9816            768
    474      27     6508      19856            028
    406      27     3736       9356            108
    111       9     2068       4360            720
    484      22    10544      31532       4.75 788
   1617      19    14944      26900            992
    196      12     2928       7676            204
    568      15     7728      24024            396
    670      15     5716      10032            456
    200      10     2000       4908            600
    292      14     3244       9696            880
    202      13     3060      10276            912
    444      25     5996      17992       0.38 092
    387      22     6200      20280            664
    470      22    12412      21600            064
    414      15     4032       9852            160
    366      16     3940      11788            208
    107       8     2088       4292            400
    242      19     2460       5256            228
    122       9     1664       7688            244
    932       8     1808       5660            936
    209      16     3980      10876            040
    340      18     5144      22784       2.67 076
   6253       0      192         20              4
    796      38    38012        656       0.50 344
    322      40    10056      17664       1.50 228
    131       7     1300       2840            976
    291      18    11920      53368       0.88 272
    310      24   105292     143280      18.72 720
    288      19    26104      51908       0.30 676
   1207      51   102068     143252      24.38 760
    419      19    17396      40204       5.75 492
    809      31   116424     131156       3.83 128
    406      35   221512     253536      42.94 580
   1236      50    81344     133784      32.25 524
    268      17    23436      74788       0.03 328
    571      24    20696      58800       6.30 428
    176      58    22320      29984            272
    137       9     1940       7796            516
    155      11     5492      12860            124
    141      11     2400       5184            056
     93       8     7812       9904            036
    226      15     3788       9004            004
    198      18     4564      10404       0.09 296
    224      13     3508       8464            044
    518      26     6748      21412            960
    535      31    16624      35676      29.20 696
    290      14    13920      14208            072
   2896      43   800268     777976      25.27 844
    455      26    18540      25104            108
    443      22    12380      21508      17.22 160
    608      26    10992      31972      89.14 096
    170      11     1724       4048            884
    297      15     3788      17756            396
    160       8     1776       4256            248
    238      19     5984      15312            520
    193      12     5300      12784            684
    265      13     2680      10016            168
    825      15    10784      11896             84
    235      12     2520       5736            388
    461      21    14480      24668            724
    839      50    40524      31308       1.86 544


